STAR,BMV,DIST,FE,H,J,KS,LOGG,MSTAR,RHOSTAR,RSTAR,TEFF
Kepler-316,,,,12.681,13.324,12.542,4.743,,,0.52,4204
HD 152581,0.9,186,-0.46,6.244,6.673,6.173,3.4,0.927,,3.809,5155
KIC 11442793,,780,-0.12,12.531,12.79,12.482,4.4,1.2,,1.2,6080
Kepler-1426,,1211,0.03,13.734,14.032,13.645,4.43,1.02,,1.02,5831
Kepler-993,,298,0.03,12.893,13.587,12.729,4.72,0.57,,0.54,3843
Kepler-338,0.690001,,,10.84,11.1,10.756,4.017,,,1.735,5923
Kepler-1588,,658,-0.14,12.456,12.766,12.383,4.43,0.96,,0.99,5817
Kepler-985,,741,0,13.163,13.537,13.019,4.54,0.91,,0.85,5434
Kepler-974,,121,0.07,11.279,11.951,11.056,4.76,0.52,,0.5,3687
Kepler-1248,,540,0.24,11.534,11.771,11.449,4.36,1.21,,1.21,6149
Kepler-129,0.86,,,10.325,10.6,10.252,4.086,,,1.641,5770
Kepler-1331,,365,0.05,12.419,13.084,12.318,4.63,0.72,,0.69,4508
PH-1,,1500,0.21,12.461,12.714,12.395,4.14,1.734,,1.759,6407
Kepler-306,,,,13.607,14.084,13.503,4.611,,,0.719,4954
Kepler-37,0.68,66,-0.32,8,8.356,7.942,4.5667,0.803,2.458,0.77,5417
Kepler-856,,1175,0.12,13.918,14.277,13.905,4.49,0.96,,0.93,5535
HD 13908,0.53,71.2,0.01,6.251,6.497,6.21,4.11,1.29,,1.67,6255
HD 125595,1.107,27.9564,0.02,6.608,7.097,6.447,4.32,0.756,,1.03336,4908
Kepler-1499,,310,-0.01,11.551,12.016,11.455,4.58,0.82,,0.78,5097
WASP-79,0.41,240,0.03,9.123,9.299,9.056,4.2,1.52,0.36,1.64,6600
Kepler-1470,,569,-0.01,12.978,13.492,12.896,4.59,0.8,,0.76,4961
Kepler-1040,,473,0.01,11.845,12.181,11.772,4.47,0.98,,0.96,5694
Kepler-109,-0.110001,,-0.08,11.046,11.314,11.001,4.211,1.04,0.65,1.32,5952
HIP 57274,1.111,25.9202,0.09,6.408,6.958,6.286,4.71,0.73,,0.68,4640
Kepler-30,,,0.18,13.62,14,13.58,4.77,0.99,2,0.95,5498
